200	-0.03242059017
300	-0.01960249854
400	0.01401940127
500	-0.0902272814
600	-0.1638724336
700	-0.2087568218
800	-0.1917645243
900	-0.2470359459
1000	-0.09485244376
1100	-0.01972178831
1200	-0.2261382678
1300	-0.1548515502
1400	-0.2797452692
1500	-0.3792026511
1600	-0.3268634332
1700	-0.3340898184
1800	-0.4883658888
1900	-0.3815102207
2000	-0.3061106261
2100	-0.3469271979
2200	-0.476466607
2300	-0.6290412124
2400	-0.5893653007
2500	-0.5070086089
2600	-0.5871919905
2700	-0.6708320311
2800	-0.5384872974
2900	-0.5194879865
3000	-0.4554486798
3100	-0.4161967836
3200	-0.4101235281
3300	-0.5813955502
3400	-0.4890412445
3500	-0.4788788106
3600	-0.5552852576
3700	-0.6576237249
3800	-0.5320292663
3900	-0.4710244478
4000	-0.583460755
4100	-0.6380376452
4200	-0.4581603795
4300	-0.476635553
4400	-0.4777908099
4500	-0.4877476742
4600	-0.323619907
4700	-0.4718679679
4800	-0.651229617
4900	-0.6105861743
5000	-0.5858870955
